package,version,jt_ca,jt_ce,jt_instability,module_file_count,module_decl_mean,module_decl_median,module_decl_std_dev,module_decl_max,module_decl_outlier_count,module_internal_fan_in_mean,module_internal_fan_in_median,module_internal_fan_in_std_dev,module_internal_fan_in_max,module_internal_fan_in_outlier_count,module_internal_fan_out_mean,module_internal_fan_out_median,module_internal_fan_out_std_dev,module_internal_fan_out_max,module_internal_fan_out_outlier_count,class_mean,class_median,class_std_dev,class_max,class_outlier_count,function_mean,function_median,function_std_dev,function_max,function_outlier_count,function_call_mean,function_call_median,function_call_std_dev,function_call_max,function_call_outlier_count
pspdfkit,2024.8.2,5,1,0.1667,82,0.33,0.00,1.20,6,3,0.02,0.00,0.15,1,2,0.02,0.00,0.15,1,2,7.22,0.00,46.63,410,1,370.24,2.00,2799.69,25518,1,2.73,1.00,10.07,803,203
@github/copilot-darwin-arm64,1.0.50,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@op-engineering/op-sqlite,16.0.0,50,11,0.1803,38,0.71,1.00,0.76,3,1,0.32,0.00,0.76,4,1,0.32,0.00,0.57,2,0,0.32,0.00,0.46,1,0,6.50,0.00,16.67,67,2,1.84,1.00,2.53,19,6
@prisma/sdk,4.0.0,242,60,0.1987,185,1.88,1.00,4.77,51,2,0.76,0.00,1.22,8,4,0.76,0.00,3.68,47,2,0.09,0.00,0.38,3,2,5.79,0.00,10.07,85,5,2.02,1.00,3.73,46,21
@cdktf/provider-google,16.12.1,32,17,0.3469,2962,2.49,2.00,38.15,1470,2,1.00,0.00,1.00,3,0,1.00,0.00,38.18,1470,2,7.49,2.00,15.04,200,72,7.43,0.00,34.83,1470,24,4.21,3.00,4.20,59,244
@syncfusion/ej2,33.2.7,23,51,0.6892,105,2.39,1.00,8.25,51,3,1.44,0.00,1.49,3,0,1.44,0.00,8.39,51,3,0.02,0.00,0.19,2,1,586.81,0.00,5946.97,61234,1,6.26,2.00,99.15,24416,7
oh-my-opencode-windows-x64,4.2.2,1,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@nutrient-sdk/viewer,1.15.0,0,1,1,65,0.31,0.00,1.11,6,2,0.03,0.00,0.17,1,2,0.03,0.00,0.17,1,2,10.12,0.00,58.89,470,1,585.69,0.00,4107.21,33420,1,2.41,1.00,7.31,644,350
distilled-aws,0.1.1,2,20,0.9091,1401,8.84,9.00,2.94,20,3,4.68,0.00,46.32,832,14,4.68,4.00,1.91,15,3,12.46,7.00,21.66,228,24,112.61,43.00,216.44,3166,16,4.55,3.00,7.13,874,1652
@amcharts/amcharts5-geodata,5.1.5,6,1,0.1429,2366,0.04,0.00,0.18,1,83,0.04,0.00,1.67,81,1,0.04,0.00,0.18,1,83,0.00,0.00,0.00,0,0,0.46,0.00,22.57,1098,1,2.00,0.00,66.18,2194,1
oh-my-opencode-windows-x64-baseline,4.2.2,1,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@cdktf/provider-kubernetes,12.1.1,8,17,0.68,318,2.27,2.00,8.52,109,2,0.99,0.00,1.05,3,0,0.99,0.00,8.61,109,2,37.14,5.00,61.11,200,0,36.32,0.00,89.54,339,14,5.48,5.00,5.38,45,126
@azure/mcp-linux-x64,3.0.0-beta.10,1,0,0,1,4.00,4.00,0.00,4,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,7.00,7.00,0.00,7,0,3.29,1.00,4.80,15,0
oh-my-openagent-linux-x64,4.2.2,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
unicode-9.0.0,0.7.5,30,0,0,2231,0.09,0.00,0.28,1,190,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@neo4j-cypher/language-support,2.0.0-next.6,5,7,0.5833,105,16.07,2.00,70.67,371,4,1.10,0.00,2.92,16,5,1.10,0.00,1.60,7,4,9.68,0.00,54.46,383,2,645.05,0.00,3720.43,22534,3,4.21,1.00,105.31,15478,60
opencode-windows-arm64,1.15.5,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
realm,20.2.0,151,21,0.1221,286,2.12,1.00,3.10,23,5,1.79,0.00,5.41,56,5,1.79,0.00,3.01,23,5,0.63,0.00,3.17,31,3,1.17,0.00,3.40,35,6,1.87,1.00,3.98,36,5
oh-my-openagent-windows-x64,4.2.2,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
oh-my-openagent-windows-x64-baseline,4.2.2,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@asyncapi/studio,1.3.0,3,76,0.962,2919,2.39,0.00,12.34,581,14,1.81,1.00,5.16,130,33,1.81,0.00,11.97,581,9,1.24,0.00,14.59,405,10,37.39,3.00,202.45,3990,37,3.23,1.00,12.99,1614,660
@anthropic-ai/claude-code-darwin-x64,2.1.144,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
cldr,8.0.0,39,26,0.4,49,2.24,2.00,1.91,14,1,0.98,0.00,5.37,38,1,0.98,1.00,0.68,5,1,0.00,0.00,0.00,0,0,6.35,3.00,14.51,103,1,2.59,2.00,3.46,44,4
@pnpm/linux-arm64,11.1.3,1,1,0.5,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
google-closure-compiler-osx,20240317.0.0,3,0,0,1,1.00,1.00,0.00,1,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@gitlab/web-ide,0.0.1-dev-20260106142046,0,1,1,431,2.67,0.00,33.00,664,2,0.36,0.00,1.93,26,5,0.36,0.00,1.73,17,7,6.86,0.00,28.49,227,16,443.65,1.00,2778.29,46314,3,2.58,1.00,12.91,2527,575
oh-my-opencode-linux-x64,4.2.2,1,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@shabados/database,5.0.0-next.0,0,14,1,10,4.90,3.50,5.34,20,0,0.50,0.00,0.67,2,0,0.50,0.00,0.67,2,0,0.00,0.00,0.00,0,0,2.80,1.50,2.64,8,0,3.96,2.00,4.28,16,0
@tabler/icons-webfont,3.44.0,11,13,0.5417,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
azure,2.3.1-preview,110,118,0.5175,26282,2.37,1.00,6.34,330,219,1.95,1.00,10.51,348,123,1.95,1.00,5.94,329,180,0.30,0.00,1.09,42,53,9.51,1.00,102.17,4417,161,3.61,2.00,16.45,992,501
@deno/linux-x64-glibc,2.7.14,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@aztec/bb.js,4.2.1,85,24,0.2202,441,1.41,1.00,1.94,9,8,0.85,0.00,1.57,10,10,0.85,0.00,1.34,8,13,0.44,0.00,0.77,4,7,4.85,0.00,23.58,242,4,1.42,1.00,3.85,85,18
@amcharts/amcharts4-geodata,4.1.31,16,0,0,2366,0.50,0.00,0.50,1,0,0.50,0.00,22.61,1097,2,0.50,0.00,0.50,1,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@cdktf/provider-azurerm,14.23.1,12,17,0.5862,3058,2.50,1.50,39.00,1527,2,1.00,0.00,1.00,2,0,1.00,0.00,39.04,1527,2,5.49,2.00,9.04,100,80,5.64,0.00,30.22,1527,14,4.51,3.00,4.83,46,159
@imgly/background-removal-node,1.4.5,24,21,0.4667,10,3.60,2.00,4.27,12,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.10,0.00,0.30,1,0,6.20,0.00,12.60,36,0,3.69,3.00,4.01,17,2
gsd-pi,3.0.0,1,47,0.9792,6712,3.43,2.00,8.96,583,36,1.90,1.00,6.91,285,66,1.90,1.00,8.23,583,31,0.35,0.00,3.40,131,32,19.26,4.00,118.52,4057,44,3.59,1.00,9.87,861,1037
@bitgo-forks/cryptocurrency-icons,0.102.0,0,15,1,2274,1.00,1.00,0.03,1,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,1.00,1.00,0.04,1,0,10.27,4.00,67.38,2073,10
@github/copilot-linux-arm64,1.0.50,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
botframework-webchat,4.18.2,28,52,0.65,316,3.67,2.00,7.04,102,3,1.41,1.00,1.87,10,6,1.41,1.00,2.83,28,5,0.99,0.00,12.13,153,2,160.79,1.00,1627.22,20107,3,2.68,1.00,30.49,4254,11
@lenml/tokenizer-gemma3,3.7.2,0,6,1,6,1.33,1.00,0.94,3,0,0.17,0.00,0.37,1,0,0.17,0.00,0.37,1,0,0.00,0.00,0.00,0,0,92.33,17.50,172.87,477,0,2.68,1.00,22.05,514,1
liquibase,4.28.1,8,15,0.6522,75,0.28,0.00,0.76,3,4,0.03,0.00,0.16,1,2,0.03,0.00,0.23,2,1,0.05,0.00,0.22,1,4,4.47,0.00,21.55,111,3,1.22,1.00,0.93,6,4
@cyclonedx/cdxgen-plugins-bin-linux-amd64,1.8.0,0,0,0,1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@restatedev/restate-server-linux-x64,1.6.2,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
permitio,2.7.5,5,39,0.8864,1454,3.30,0.00,11.33,108,30,0.68,0.00,3.19,56,14,0.68,0.00,1.46,19,11,0.13,0.00,0.41,4,26,36.93,0.00,260.34,2355,20,3.64,1.00,7.64,255,335
@restatedev/restate-linux-x64,1.6.2,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
dwt,19.3.3,14,1,0.0667,23,1.87,1.00,2.03,8,1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,706.74,0.00,1748.60,5755,0,3.47,2.00,12.89,1005,49
@buildonspark/spark-sdk,0.8.1,18,43,0.7049,346,4.68,3.00,6.96,64,8,2.67,1.00,5.48,45,8,2.67,1.00,4.47,52,3,0.67,0.00,2.81,27,7,43.73,3.00,192.95,1562,8,2.08,1.00,5.79,138,204
@atlaspack/rust,3.29.2,19,2,0.0952,4,10.00,0.50,16.75,39,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,2.75,2.50,2.77,6,0,1.25,0.50,1.64,4,0,3.60,2.00,2.06,7,0
serverless-offline-aws-eventbridge,2.2.4,1,27,0.9643,13216,2.90,2.00,10.24,799,35,1.74,1.00,10.20,482,55,1.74,1.00,6.95,386,36,0.15,0.00,0.82,25,68,5.67,1.00,68.62,5359,45,2.57,1.00,5.93,742,625
@wppconnect/wa-version,1.5.3966,19,25,0.5682,28,2.07,1.00,2.64,12,1,1.07,0.00,2.25,11,1,1.07,0.00,2.30,12,1,0.00,0.00,0.00,0,0,6.54,0.00,7.36,17,0,1.78,1.00,2.23,12,1
@xmtp/node-bindings,1.10.0,2,15,0.8824,2,41.50,41.50,41.50,83,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,8.50,8.50,8.50,17,0,3.50,3.50,3.50,7,0,22.43,3.00,49.64,144,0
@livestore/common-cf,0.0.0-snapshot-8452e32b7fbfc129741b253b9c853f866b52129f,1,6,0.8571,132,1.23,1.00,1.27,5,0,0.19,0.00,0.81,7,2,0.19,0.00,0.46,3,2,1.11,0.00,2.10,6,0,1704.39,0.00,4024.04,11535,0,1.69,1.00,3.21,81,3478
jqwidgets-framework,25.1.0,6,0,0,10689,1.95,2.00,1.85,29,41,0.44,0.00,1.93,145,20,0.44,0.00,0.96,28,56,0.02,0.00,0.26,16,115,15.43,0.00,166.94,9383,94,4.65,2.00,10.30,305,2704
aerospike,6.7.0,32,31,0.4921,215,3.10,2.00,4.67,57,3,1.68,0.00,7.77,82,2,1.68,1.00,3.21,36,3,0.57,0.00,5.11,75,1,20.91,6.00,41.99,292,5,4.17,2.00,4.84,100,37
openapi-directory,1.3.17,2,19,0.9048,12,1.00,0.00,1.53,5,0,0.50,0.00,0.65,2,0,0.50,0.00,0.87,2,0,0.17,0.00,0.37,1,0,1.83,0.50,2.88,10,0,1.91,1.00,3.60,17,1
gdal-async,3.12.3,19,38,0.6667,305,2.69,1.00,4.48,41,4,1.36,0.00,2.44,16,8,1.36,1.00,2.97,41,2,0.90,0.00,3.89,56,6,9.65,1.00,35.98,428,3,2.46,1.00,4.13,53,42
@qingchencloud/openclaw-zh,2026.5.12-zh.2,0,76,1,11041,3.04,1.00,6.94,230,173,2.08,0.00,13.38,1023,64,2.08,0.00,6.53,223,165,0.02,0.00,0.34,21,21,7.26,0.00,55.99,4243,54,3.16,1.00,6.83,447,1004
@pnpm/macos-arm64,11.1.3,1,1,0.5,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
electron-apps,1.9312.0,3,41,0.9318,29,4.59,4.00,3.56,15,0,0.83,0.00,1.39,6,1,0.83,1.00,1.05,4,1,0.00,0.00,0.00,0,0,7.83,3.00,11.51,47,2,3.05,2.00,3.02,15,4
@aztec/l1-artifacts,4.2.1,22,5,0.1852,155,0.01,0.00,0.16,2,1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.15,0.00,1.92,24,1,1.79,1.00,1.76,7,0
choerodon-ui,1.6.7,24,220,0.9016,5684,4.47,2.00,7.50,79,120,2.00,0.00,6.93,183,76,2.00,1.00,4.01,72,114,0.09,0.00,0.31,3,25,29.94,0.00,688.06,20954,8,4.05,2.00,10.84,1204,1932
rocksdb-native,3.15.1,11,20,0.6452,9,2.78,2.00,2.82,9,0,1.78,1.00,1.40,5,0,1.78,1.00,1.99,6,0,0.78,0.00,1.55,5,0,1.89,0.00,4.65,15,0,0.82,0.00,0.98,2,0
@mchp-mcc/pic-16bit,5.16.0,74,22,0.2292,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
omniroute,3.7.9,0,76,1,4911,5.12,1.00,15.15,583,74,1.59,1.00,7.81,340,26,1.59,0.00,9.75,583,22,0.61,0.00,5.93,207,29,35.27,3.00,187.13,5589,44,3.17,1.00,12.01,1865,1049
@elasticprojects/abstract-cli,13.4.5,2,3,0.6,3,1.33,1.00,1.25,3,0,0.33,0.00,0.47,1,0,0.33,0.00,0.47,1,0,0.00,0.00,0.00,0,0,8.33,9.00,4.11,13,0,2.80,3.00,1.67,9,1
@codemod.com/cli-linux-x64-gnu,1.10.5,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@central-icons-react/all,1.1.238,0,6,1,9,1.11,1.00,1.10,3,0,0.22,0.00,0.42,1,0,0.22,0.00,0.63,2,0,0.00,0.00,0.00,0,0,2.33,1.00,3.16,9,0,1.67,2.00,1.64,6,0
@embedded-postgres/darwin-arm64,18.3.0-beta.17,2,2,0.5,3,1.33,2.00,0.94,2,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.67,0.00,0.94,2,0,4.50,4.50,4.50,9,0
nw-gyp,3.6.8,21,17,0.4474,24,4.67,3.50,3.46,14,0,0.42,0.00,0.76,3,1,0.42,0.00,0.70,3,1,0.00,0.00,0.00,0,0,12.50,7.00,14.84,60,1,4.04,3.00,4.66,37,7
@matbee/libreoffice-converter,2.6.0,2,17,0.8947,21,4.38,3.00,3.96,12,0,0.05,0.00,0.21,1,1,0.05,0.00,0.21,1,1,1.29,0.00,2.91,10,0,93.24,20.00,159.69,568,0,3.02,2.00,7.27,184,16
react-fluentui-emoji,1.3.0,1,1,0.5,15779,1.50,1.00,37.60,3145,3,0.50,0.00,0.50,1,0,0.50,0.00,37.61,3145,3,0.00,0.00,0.00,0,0,1.50,0.00,1.50,3,0,31.48,2.00,108.88,4096,448
iso3166-2-db,2.3.11,14,10,0.4167,14,1.36,1.00,1.34,4,0,1.14,1.00,0.99,4,0,1.14,1.00,1.25,4,0,0.00,0.00,0.00,0,0,6.71,5.00,6.53,22,0,0.96,0.50,1.23,4,0
@antimatterhq/antimatter,2.0.5,0,8,1,60,2.67,2.00,2.87,18,2,1.33,0.50,3.29,14,4,1.33,0.00,2.55,14,2,0.20,0.00,0.91,5,2,4.95,0.50,8.06,36,1,2.46,3.00,2.04,12,6
@factory/cli-linux-x64,0.129.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@gitbook/fontawesome-pro,1.0.23,1,1,0.5,3,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.67,0.00,0.94,2,0,2.00,2.00,1.00,3,0
doc999tor-fast-geoip,1.1.433,2,2,0.5,4,1.00,0.00,1.73,4,0,0.50,0.50,0.50,1,0,0.50,0.00,0.87,2,0,0.00,0.00,0.00,0,0,6.25,2.50,8.20,20,0,2.00,2.00,2.02,8,0
@factory/cli-linux-x64-baseline,0.129.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@github/copilot-darwin-x64,1.0.50,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
gm-kilo,1.0.1,0,0,0,1,4.00,4.00,0.00,4,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,4.00,4.00,0.00,4,0,7.25,5.50,5.36,16,0
unicode-5.2.0,0.7.5,5,0,0,1387,0.11,0.00,0.32,1,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
stockfish,18.0.7,21,0,0,8,7.38,8.00,3.90,13,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,217.25,168.00,279.91,913,0,6.14,2.00,39.42,1303,7
node-bin-darwin-arm64,22.22.3,1,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@zed-industries/codex-acp-darwin-x64,0.14.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@microsoft/workiq,0.4.1,1,0,0,2,2.00,2.00,0.00,2,0,0.50,0.50,0.50,1,0,0.50,0.50,0.50,1,0,0.00,0.00,0.00,0,0,3.50,3.50,1.50,5,0,3.71,2.00,3.41,10,0
react-native-signature-capture,0.4.12,24,3,0.1111,10,1.90,3.00,1.58,4,0,0.10,0.00,0.30,1,0,0.10,0.00,0.30,1,0,0.30,0.00,0.46,1,0,0.80,0.50,1.17,4,0,1.00,1.00,0.71,2,0
gm-codex,2.0.1080,0,1,1,16,4.56,4.00,1.90,9,0,0.56,0.00,1.22,5,1,0.56,0.50,0.61,2,0,0.06,0.00,0.24,1,1,14.25,12.00,11.79,50,1,6.55,4.00,8.11,68,5
prismarine-viewer,1.33.0,26,31,0.5439,59,3.41,3.00,3.06,13,2,0.68,0.00,0.95,4,1,0.68,0.00,1.23,6,1,4.53,0.00,28.91,222,1,82.37,3.00,417.38,2482,2,2.43,1.00,5.00,135,80
@kilocode/cli-windows-x64,7.3.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@kilocode/cli-windows-x64-baseline,7.3.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@rivetkit/engine-cli-darwin-x64,2.2.1-pr.4600.252b48e,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
gm-cc,1.0.1,1,0,0,1,4.00,4.00,0.00,4,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,5.00,5.00,0.00,5,0,7.60,4.00,6.86,20,0
gm-qwen,2.0.1080,0,2,1,14,4.86,4.00,1.85,9,0,0.64,0.00,1.29,5,1,0.64,1.00,0.61,2,0,0.07,0.00,0.26,1,1,14.57,11.50,12.45,50,0,6.20,4.00,7.81,68,4
@expo/swiftlint,0.57.1,0,1,1,1,4.00,4.00,0.00,4,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,1.00,1.00,0.00,1,0,2.00,2.00,0.00,2,0
@syncfusion/ej2-cldr-data,33.2.3,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
code-server,4.117.0,3,19,0.8636,134,26.01,3.00,108.99,886,2,0.66,0.00,1.83,12,4,0.66,0.00,1.99,17,3,11.64,0.00,104.10,1207,1,1364.87,62.00,5142.35,47011,2,2.74,1.00,9.57,1104,1239
@rivetkit/engine-cli-darwin-arm64,2.2.1-pr.4600.252b48e,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
go-ios,1.0.213,1,1,0.5,2,3.50,3.50,0.50,4,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,9.50,9.50,4.50,14,0,3.11,2.00,2.97,10,0
@rivetkit/engine-cli-linux-x64-musl,2.2.1-pr.4600.252b48e,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@mchp-mcc/pic-8bit,5.31.0,162,22,0.1196,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
kuzu,0.11.3,21,5,0.1923,53,2.19,1.00,1.69,6,0,0.68,0.00,1.19,6,2,0.68,0.00,1.31,6,2,0.36,0.00,0.68,4,1,9.96,3.00,17.37,64,2,4.42,3.00,5.26,59,8
unicode-8.0.0,0.7.5,22,0,0,2135,0.09,0.00,0.28,1,184,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@rivetkit/engine-cli-linux-arm64-musl,2.2.1-pr.4600.252b48e,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
